latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
41.020926,-81.101398,018,032,3753,1371,2025-09-02,1604,L8,low,D
41.020656,-81.101397,018,032,3753,1372,2025-09-02,1604,L8,high,D
40.76689,-81.099944,018,032,3756,2311,2025-09-02,1604,L8,low,D
40.430686,-80.908454,018,032,4296,3555,2025-09-02,1604,L8,high,D
39.581418,-80.902246,018,032,4317,6697,2025-09-02,1604,L8,high,D
40.534132,-80.844198,018,032,4477,3172,2025-09-02,1604,L8,low,D
41.172407,-80.802282,018,032,4590,810,2025-09-02,1604,L8,high,D
41.172677,-80.801923,018,032,4591,809,2025-09-02,1604,L8,high,D
41.172406,-80.801924,018,032,4591,810,2025-09-02,1604,L8,high,D
39.568133,-80.714361,018,032,4855,6745,2025-09-02,1604,L8,high,D
39.364024,-80.706836,018,032,4879,7500,2025-09-02,1604,L8,high,D
39.363754,-80.706837,018,032,4879,7501,2025-09-02,1604,L8,high,D
41.132437,-80.690884,018,032,4902,957,2025-09-02,1604,L8,medium,D
41.126748,-80.685908,018,032,4916,978,2025-09-02,1604,L8,high,D
41.126747,-80.68555,018,032,4917,978,2025-09-02,1604,L8,high,D
40.354327,-80.677862,018,032,4949,3836,2025-09-02,1604,L8,high,D
40.76553,-80.630031,018,032,5078,2314,2025-09-02,1604,L8,high,D
40.76526,-80.630032,018,032,5078,2315,2025-09-02,1604,L8,high,D
40.447628,-80.608785,018,032,5143,3490,2025-09-02,1604,L8,medium,D
40.447358,-80.608786,018,032,5143,3491,2025-09-02,1604,L8,high,D
40.447088,-80.608788,018,032,5143,3492,2025-09-02,1604,L8,high,D
40.31276,-80.608505,018,032,5146,3989,2025-09-02,1604,L8,medium,D
40.310867,-80.608163,018,032,5147,3996,2025-09-02,1604,L8,high,D
40.310597,-80.608164,018,032,5147,3997,2025-09-02,1604,L8,high,D
40.312483,-80.606388,018,032,5152,3990,2025-09-02,1604,L8,medium,D
40.312752,-80.606033,018,032,5153,3989,2025-09-02,1604,L8,high,D
40.312481,-80.606035,018,032,5153,3990,2025-09-02,1604,L8,medium,D
40.31329,-80.605324,018,032,5155,3987,2025-09-02,1604,L8,medium,D
40.31302,-80.605326,018,032,5155,3988,2025-09-02,1604,L8,medium,D
40.751862,-80.584618,018,032,5206,2364,2025-09-02,1604,L8,low,D
40.378879,-80.580203,018,032,5225,3744,2025-09-02,1604,L8,low,D
40.999165,-80.520646,018,032,5381,1448,2025-09-02,1604,L8,high,D
40.999163,-80.520289,018,032,5382,1448,2025-09-02,1604,L8,high,D
40.998893,-80.520291,018,032,5382,1449,2025-09-02,1604,L8,medium,D
40.998892,-80.519934,018,032,5383,1449,2025-09-02,1604,L8,low,D
40.998621,-80.519936,018,032,5383,1450,2025-09-02,1604,L8,low,D
41.060643,-80.43094,018,032,5631,1219,2025-09-02,1604,L8,high,D
40.705678,-80.308966,018,032,5983,2530,2025-09-02,1604,L8,low,D
39.288627,-80.323104,018,032,5983,7773,2025-09-02,1604,L8,high,D
39.288357,-80.323107,018,032,5983,7774,2025-09-02,1604,L8,high,D
39.288087,-80.323109,018,032,5983,7775,2025-09-02,1604,L8,high,D
39.288625,-80.322756,018,032,5984,7773,2025-09-02,1604,L8,high,D
39.288355,-80.322759,018,032,5984,7774,2025-09-02,1604,L8,high,D
39.479977,-80.272419,018,032,6123,7064,2025-09-02,1604,L8,low,D
40.673863,-80.235107,018,032,6192,2646,2025-09-02,1604,L8,high,D
40.673592,-80.23511,018,032,6192,2647,2025-09-02,1604,L8,high,D
40.67386,-80.234752,018,032,6193,2646,2025-09-02,1604,L8,high,D
40.67359,-80.234755,018,032,6193,2647,2025-09-02,1604,L8,high,D
39.721683,-80.238032,018,032,6214,6169,2025-09-02,1604,L8,high,D
39.773435,-80.216094,018,032,6275,5977,2025-09-02,1604,L8,low,D
40.723183,-80.175931,018,032,6357,2462,2025-09-02,1604,L8,low,D
39.829848,-80.166021,018,032,6416,5767,2025-09-02,1604,L8,low,D
40.466584,-80.12281,018,032,6516,3410,2025-09-02,1604,L8,high,D
40.312894,-80.065841,018,032,6683,3977,2025-09-02,1604,L8,high,D
40.312624,-80.065844,018,032,6683,3978,2025-09-02,1604,L8,high,D
41.020025,-79.897853,018,032,7126,1355,2025-09-02,1604,L8,low,D
43.950476,-80.926783,018,029,393,6368,2025-09-02,1603,L8,low,D
43.950476,-80.926409,018,029,394,6368,2025-09-02,1603,L8,high,D
44.05573,-80.704928,018,029,985,5977,2025-09-02,1603,L8,medium,D
44.240586,-80.648025,018,029,1134,5292,2025-09-02,1603,L8,low,D
44.08904,-80.563483,018,029,1362,5852,2025-09-02,1603,L8,high,D
44.08877,-80.563485,018,029,1362,5853,2025-09-02,1603,L8,high,D
44.0885,-80.563487,018,029,1362,5854,2025-09-02,1603,L8,low,D
44.089038,-80.563108,018,029,1363,5852,2025-09-02,1603,L8,low,D
44.088768,-80.56311,018,029,1363,5853,2025-09-02,1603,L8,high,D
44.467658,-80.429419,018,029,1710,4448,2025-09-02,1603,L8,low,D
